ID,Genero,sp,Local,Tratamento,LTh,TiL,TarL,FL,AL,FL,HL_M,ED,HW,HL_Rostro,Larg_Boca,Timpano,Disco_Ades_M,Disco_Ades_P,CRC,Massa (gramas)
2573,Odontoprhynus,Odontoprhynus_americanus,D,undisturbed,17.87,14.14,5.58,21.45,4.99,NA,11.93,1.96,6.65,14.35,16.28,2.05,NA,NA,45.58,8.45
2574,Scinax,Scinax_squalirostris,D,undisturbed,11.29,12.59,7.79,9.37,3.44,3.43,6.20,1.86,1.28,8.18,7.14,0.80,0.63,0.50,22.38,0.20
2575,Scinax,Scinax_squalirostris,D,undisturbed,9.82,11.89,6.19,7.99,3.64,3.72,3.77,1.83,0.96,7.47,6.86,0.93,0.56,0.56,20.92,0.20
2576,Scinax,Scinax_squalirostris,D,undisturbed,10.53,11.93,5.03,7.74,3.74,4.15,5.18,1.89,1.37,7.37,6.33,0.78,NA,0.49,21.31,0.25
2577,Scinax,Scinax_squalirostris,D,undisturbed,15.81,18.36,9.53,14.93,5.72,5.72,8.03,1.00,1.38,9.83,8.13,1.41,0.90,0.61,32.10,0.90
2578,Dendropsophus,Dendropsophus_minutus,B,disturbed,12.64,12.26,7.80,8.74,4.03,4.27,6.25,2.27,2.06,6.76,5.87,0.78,NA,NA,23.92,0.70
2579,Dendropsophus,Dendropsophus_minutus,B,disturbed,10.35,11.60,7.40,9.12,4.15,4.11,6.12,1.86,1.77,6.33,5.55,NA,0.60,0.60,21.02,0.50
2580,Dendropsophus,Dendropsophus_minutus,B,disturbed,7.41,7.55,4.08,5.86,2.85,3.03,5.11,1.13,1.07,6.01,3.62,NA,NA,0.57,13.42,0.25
2581,Dendropsophus,Dendropsophus_minutus,B,disturbed,13.14,13.40,9.01,11.19,7.89,8.73,9.70,5.95,5.90,10.58,5.05,NA,NA,NA,22.12,0.45
2582,Dendropsophus,Dendropsophus_sanborni,B,disturbed,8.58,8.38,5.34,7.18,2.93,2.97,5.08,1.01,1.25,4.51,4.32,NA,0.57,0.46,18.08,0.15
2583,Dendropsophus,Dendropsophus_sanborni,B,disturbed,8.44,8.44,5.42,5.89,3.49,2.70,4.90,0.92,1.36,4.93,4.56,0.55,0.38,NA,17.15,0.10
2584,Dendropsophus,Dendropsophus_sanborni,E,undisturbed,8.97,8.49,5.60,6.34,3.14,3.36,4.26,0.94,0.66,4.51,4.22,NA,0.33,0.31,17.28,0.25
2585,Dendropsophus,Dendropsophus_minutus,F,undisturbed,8.20,8.14,5.05,6.67,3.42,3.63,4.93,1.45,1.27,4.20,3.20,0.87,0.46,0.35,17.19,0.25
2586,Pseudopaludicola,Pseudopaludicola_falcipes,E,undisturbed,7.05,7.32,4.52,8.40,3.37,2.63,3.51,1.07,1.16,6.17,3.72,NA,NA,NA,14.48,0.20
2587,Pseudopaludicola,Pseudopaludicola_falcipes,F,undisturbed,7.37,7.16,4.11,8.20,2.99,2.59,4.04,1.63,1.48,4.60,3.97,NA,NA,NA,13.96,0.25
2588,Pseudopaludicola,Pseudopaludicola_falcipes,F,undisturbed,7.02,7.64,4.89,6.49,2.47,3.49,4.07,1.14,1.01,5.43,4.80,NA,NA,NA,15.08,0.30
2589,Pseudopaludicola,Pseudopaludicola_falcipes,E,undisturbed,7.98,7.58,4.43,7.66,2.78,2.03,2.31,1.14,1.13,4.62,4.10,0.84,NA,NA,14.42,0.20
2590,Scinax,Scinax_tymbamirim,D,undisturbed,12.15,12.33,5.89,9.00,3.99,3.60,6.00,1.82,1.09,7.52,7.09,0.88,0.39,0.31,22.16,0.45
2591,Dendropsophus,Dendropsophus_minutus,E,undisturbed,11.50,11.18,5.82,9.47,3.07,3.74,6.88,2.29,1.27,6.82,5.28,0.92,0.66,NA,20.13,0.40
2592,Dendropsophus,Dendropsophus_minutus,E,undisturbed,9.13,10.78,5.32,7.78,2.86,3.48,4.75,1.60,1.49,6.81,5.43,0.50,0.65,0.22,20.28,0.30
2593,Dendropsophus,Dendropsophus_minutus,E,undisturbed,11.08,11.01,6.11,8.32,4.09,3.16,5.51,1.59,1.25,6.78,5.76,NA,NA,NA,20.75,0.45
2594,Dendropsophus,Dendropsophus_minutus,E,undisturbed,10.75,11.73,6.75,7.11,13.55,3.64,6.43,1.70,1.36,6.73,5.42,0.79,NA,NA,21.54,0.50
2595,Physalaemus,Physalaemus_cf._gracilis,E,undisturbed,10.55,12.52,5.81,12.51,5.02,4.45,5.70,1.34,2.00,9.81,9.82,1.36,NA,NA,28.28,1.40
2596,Physalaemus,Physalaemus_biligonigerus,D,undisturbed,13.26,13.02,7.77,13.80,4.20,6.05,7.28,1.82,1.70,11.39,10.24,NA,NA,NA,26.54,1.25
2597,Scinax,Scinax_fuscovarius,F,undisturbed,13.30,17.70,7.91,12.97,5.43,5.65,8.19,0.99,1.75,11.01,10.44,1.25,0.55,0.53,32.10,1.25
2598,Physalaemus,Physalaemus_cuvieri,F,undisturbed,14.53,11.75,6.73,12.11,5.06,4.28,6.54,0.52,0.94,9.72,7.74,NA,NA,NA,27.22,0.75
2599,Physalaemus,Physalaemus_cuvieri,F,undisturbed,11.38,12.25,5.38,12.96,4.73,4.24,6.49,0.99,1.64,9.36,9.00,NA,NA,NA,25.14,0.75
2600,Physalaemus,Physalaemus_cuvieri,F,undisturbed,10.73,11.84,6.50,10.60,4.91,3.35,6.16,0.82,1.68,9.19,7.91,NA,NA,NA,25.88,1.15
2601,Physalaemus,Physalaemus_cuvieri,F,undisturbed,13.24,12.18,5.57,11.82,6.07,3.79,4.59,1.20,2.05,9.36,8.03,NA,NA,NA,27.76,1.00
2602,Leptodactylus,Leptodactylus_latrans,F,undisturbed,19.37,21.56,12.89,23.50,7.53,8.27,8.54,3.79,4.02,15.55,13.54,2.96,NA,NA,45.44,6.40
2603,Leptodactylus,Leptodactylus_latrans,F,undisturbed,22.03,21.05,13.64,24.19,7.52,7.79,8.05,2.89,3.06,17.50,14.43,3.11,NA,NA,50.38,4.90
2604,Leptodactylus,Leptodactylus_latrans,F,undisturbed,20.35,19.10,11.14,19.47,7.20,7.99,10.64,4.38,3.22,14.10,11.98,1.84,NA,NA,41.49,13.35
2605,Physalaemus,Physalaemus_cuvieri,D,undisturbed,11.70,13.09,7.23,11.38,5.58,4.06,7.69,1.36,1.67,9.10,8.24,1.50,NA,NA,27.63,0.90
2606,Dendropsophus,Dendropsophus_sanborni,D,undisturbed,6.87,8.57,3.84,6.70,2.91,3.35,4.52,1.15,1.04,5.02,4.66,NA,0.52,NA,16.76,0.15
2607,Dendropsophus,Dendropsophus_sanborni,D,undisturbed,8.86,8.69,4.69,6.52,2.72,2.71,4.22,1.79,0.92,4.93,5.14,NA,NA,NA,17.15,0.25
2608,Dendropsophus,Dendropsophus_minutus,A,disturbed,7.52,7.58,5.50,6.98,2.40,3.27,4.23,1.25,0.99,4.99,4.57,NA,0.50,0.63,17.42,0.20
2609,Pseudopaludicola,Pseudopaludicola_falcipes,F,undisturbed,6.34,7.07,3.96,8.83,2.35,2.47,4.30,0.56,0.72,5.05,4.19,0.66,NA,NA,13.19,0.25
2610,Pseudopaludicola,Pseudopaludicola_falcipes,F,undisturbed,6.75,8.19,5.13,8.91,13.19,2.69,3.92,0.84,1.12,5.87,5.25,1.00,NA,NA,14.61,0.40
2611,Pseudopaludicola,Pseudopaludicola_falcipes,F,undisturbed,5.07,6.61,5.16,7.79,2.81,2.71,3.10,1.27,0.90,5.56,4.29,0.80,NA,NA,13.71,0.10
